"Code","Ordre","Categorie","Gravite","Libelle","Regle","Action"
"CHEMIN_400","1","Nommage et chemins","Bloquant","Chemin cible de plus de 400 caractères","Chemin décodé complet (site + bibliothèque + dossiers + nom) limité à 400 caractères.","Raccourcir les noms, réduire la profondeur ou cibler un niveau plus haut dans la bibliothèque."
"CHEMIN_350","2","Nommage et chemins","À traiter","Chemin cible entre 350 et 400 caractères","Marge de sécurité avant la limite de 400 caractères.","Surveiller : tout renommage ou déplacement ultérieur peut faire dépasser la limite."
"CARACTERES","3","Nommage et chemins","Bloquant","Caractères interdits dans le nom","Interdits : "" * : < > ? / \ | et caractères de contrôle.","Renommer, ou activer « Replace invalid filename characters » dans SPMT."
"ESPACES","4","Nommage et chemins","Bloquant","Espace en début ou en fin de nom","Les espaces de début et de fin ne sont pas autorisés.","Renommer l'élément."
"NOM_RESERVE","5","Nommage et chemins","Bloquant","Nom réservé ou interdit",".lock, CON, PRN, AUX, NUL, COM0-9, LPT0-9, desktop.ini, noms commençant par ~$, _vti_ n'importe où.","Renommer ou exclure (fichiers de verrouillage Office : supprimer)."
"FORMS_RACINE","6","Nommage et chemins","Bloquant","Dossier « forms » à la racine d'une bibliothèque","Le nom forms est réservé à la racine d'une bibliothèque.","Renommer le dossier (ex. Formulaires)."
"DEBUT_DOSSIER","7","Nommage et chemins","Bloquant","Dossier commençant par ゛ ou ဧ","Ces caractères ne peuvent pas débuter un nom de dossier.","Renommer le dossier."
"DIESE_POURCENT","8","Nommage et chemins","Information","Caractère # ou % dans le nom","Pris en charge par SharePoint Online mais désactivable par l'organisation.","Vérifier le paramétrage du tenant."
"POINT_VIRGULE","9","Nommage et chemins","Information","Point-virgule dans le nom","Empêche l'enregistrement depuis le Backstage Office vers SharePoint.","Renommer si le fichier est édité dans Office."
"TAILLE_250GO","10","Taille et types","Bloquant","Fichier de plus de 250 Go","Taille maximale d'un fichier dans SharePoint Online : 250 Go.","Conserver hors SharePoint (Azure Files, archivage)."
"TAILLE_15GO","11","Taille et types","À traiter","Fichier entre 15 et 250 Go","Supporté par SharePoint, mais le guide de migration de partages de fichiers cite encore 15 Go.","Tester et migrer à part, hors des vagues principales."
"TYPE_SCRIPT","12","Taille et types","Bloquant","Type bloqué sans script personnalisé",".asmx .ascx .aspx .htc .jar .master .swf .xap .xsf refusés sur les sites où le script est bloqué (défaut).","Exclure, archiver en .zip ou autoriser le script après analyse de sécurité."
"PST","13","Taille et types","À traiter","Archive Outlook (.pst)","Synchronisation limitée, blocable par stratégie ; SharePoint n'est pas la cible adaptée.","Importer dans les boîtes Exchange Online (service d'import Microsoft Purview)."
"EXT_EXCLUE","14","Taille et types","Information","Extension exclue par la politique du projet","Extension listée dans le paramètre -ExtensionsExclues.","Exclure dans les paramètres SPMT (Don't migrate files with these extensions)."
"APERCU_100MO","15","Taille et types","Information","Image ou PDF de plus de 100 Mo","Pas de miniature ni d'aperçu au-delà de 100 Mo.","Informer les utilisateurs ou optimiser les fichiers."
"INACCESSIBLE","16","Accès aux fichiers","Bloquant","Élément illisible par le compte d'audit","Accès refusé : SPMT ne pourra pas le lire non plus avec ce compte.","Accorder la lecture au compte qui exécute SPMT."
"VERROUILLE","17","Accès aux fichiers","À traiter","Fichier verrouillé (ouvert)","Le fichier est ouvert en écriture exclusive par un autre processus.","Migrer hors heures ouvrées ou fermer les sessions."
"HORS_LIGNE","18","Accès aux fichiers","À traiter","Fichier hors ligne ou archivé (HSM)","Attribut Offline ou Recall : le contenu n'est pas présent sur le disque.","Rappeler le contenu avant migration ou exclure."
"CACHE_SYSTEME","19","Accès aux fichiers","À traiter","Élément caché ou système","Non migré par défaut (Include hidden files désactivé) ; l'attribut n'est pas conservé.","Décider : inclure, exclure ou supprimer."
"RACCOURCI","20","Liens et formats","À traiter","Raccourci Windows (.lnk, .url)","Migré comme simple fichier : la cible sur le serveur ne sera plus accessible.","Remplacer par des liens SharePoint après migration."
"LIEN_SYMBOLIQUE","21","Liens et formats","À traiter","Lien symbolique ou jonction","Point d'analyse NTFS : le contenu cible n'est pas parcouru par l'audit.","Migrer la cible réelle et supprimer le lien."
"LIENS_UNC","22","Liens et formats","À traiter","Document Office avec liens vers le serveur","Liens externes vers \\serveur ou file:// (liaisons Excel, liens hypertexte) : non convertis.","Mettre à jour les liaisons après migration."
"ONENOTE","23","Liens et formats","À traiter","Bloc-notes OneNote","Bloc-notes limité à 2 Go ; l'option SPMT de conversion est dépréciée.","Migrer via l'application OneNote."
"PERM_DENY","24","Autorisations","À traiter","Refus (Deny) explicite","Les refus ne sont pas migrés : l'accès peut s'ouvrir dans SharePoint.","Revoir la sécurité de l'élément avant migration."
"PERM_SID_ORPHELIN","25","Autorisations","À traiter","SID orphelin dans l'ACL","Compte supprimé : aucune correspondance possible dans Entra ID.","Nettoyer l'ACL."
"PERM_COMPTE_LOCAL","26","Autorisations","À traiter","Compte local ou groupe intégré","Pas d'équivalent dans Entra ID (comptes du serveur, BUILTIN, Tout le monde…).","Remplacer par des groupes synchronisés ou prévoir un fichier de correspondance."
"PERM_AVANCEE","27","Autorisations","Information","Droit NTFS avancé","Seuls Lecture, Écriture/Modification et Contrôle total sont convertis.","Vérifier le niveau d'accès obtenu dans SharePoint."
"PERM_UNIQUE","28","Autorisations","Information","Héritage coupé ou droits explicites","Deviendra une permission unique SharePoint (si comptes synchronisés).","Limiter les permissions uniques ; privilégier les droits au niveau bibliothèque."
"DOSSIER_5000","29","Volumétrie","À traiter","Dossier de plus de 5 000 éléments directs","Seuil d'affichage des vues SharePoint : 5 000 éléments.","Scinder le dossier ou prévoir des vues indexées."
