"TypeRapport","Origine","TaskID","Fichier","FichierOrigine","Lignes","DateFichier","DateCollecte","Empreinte","CheminCopie","CheminOrigine"
"ItemReport","Téléchargement","8d116ece-1738-f7d9-3d9c-172411e20b8f","ItemReport_f6e99e478998.csv","ItemReport_R1.csv","228","2026-09-17T07:55:18","2026-09-17T07:58:09","f6e99e47899824a088200e350d0767336c384c8ac93a9bbc8808cd443b7de05e","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\8d116ece-1738-f7d9-3d9c-172411e20b8f\ItemReport_f6e99e478998.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Archives_8d116ece.zip!ItemReport_R1.csv"
"ItemFailureReport","Téléchargement","8d116ece-1738-f7d9-3d9c-172411e20b8f","ItemFailureReport_9a12752323f8.csv","ItemFailureReport_R1.csv","2","2026-09-17T07:55:18","2026-09-17T07:58:09","9a12752323f8a81d39df54d78d4550da91193b16fcb6184981bde756d16902f9","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\8d116ece-1738-f7d9-3d9c-172411e20b8f\ItemFailureReport_9a12752323f8.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Archives_8d116ece.zip!ItemFailureReport_R1.csv"
"ScanSummary","Téléchargement","8d116ece-1738-f7d9-3d9c-172411e20b8f","ScanSummary_9904ea4090cf.csv","ScanSummary_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","9904ea4090cfb72e929ca07abece4fb01752004866d11a331a635e0566a80f0f","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\8d116ece-1738-f7d9-3d9c-172411e20b8f\ScanSummary_9904ea4090cf.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Archives_8d116ece.zip!ScanSummary_R1.csv"
"ItemSummary","Téléchargement","8d116ece-1738-f7d9-3d9c-172411e20b8f","ItemSummary_22453bb75aeb.csv","ItemSummary_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","22453bb75aebc59e26a288f1a20a9ded8b2145fc3a13c0aa329e96185639cfac","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\8d116ece-1738-f7d9-3d9c-172411e20b8f\ItemSummary_22453bb75aeb.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Archives_8d116ece.zip!ItemSummary_R1.csv"
"StructureReport","Téléchargement","8d116ece-1738-f7d9-3d9c-172411e20b8f","StructureReport_3fec110eb1d3.csv","StructureReport_R1.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","3fec110eb1d37a29cd563e1a9686045921600a18af99e40c0b65c5952f2efdbb","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\8d116ece-1738-f7d9-3d9c-172411e20b8f\StructureReport_3fec110eb1d3.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Archives_8d116ece.zip!StructureReport_R1.csv"
"ItemReport","Téléchargement","8d116ece-1738-f7d9-3d9c-172411e20b8f","ItemReport_7233b6e79935.csv","ItemReport_R2.csv","2","2026-09-17T07:55:18","2026-09-17T07:58:09","7233b6e79935e57c74a269273dbbf9aa9c056b21f8585d133413f1b73b6351e6","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\8d116ece-1738-f7d9-3d9c-172411e20b8f\ItemReport_7233b6e79935.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Archives_8d116ece.zip!ItemReport_R2.csv"
"ItemFailureReport","Téléchargement","8d116ece-1738-f7d9-3d9c-172411e20b8f","ItemFailureReport_7233b6e79935.csv","ItemFailureReport_R2.csv","2","2026-09-17T07:55:18","2026-09-17T07:58:09","7233b6e79935e57c74a269273dbbf9aa9c056b21f8585d133413f1b73b6351e6","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\8d116ece-1738-f7d9-3d9c-172411e20b8f\ItemFailureReport_7233b6e79935.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Archives_8d116ece.zip!ItemFailureReport_R2.csv"
"ScanSummary","Téléchargement","8d116ece-1738-f7d9-3d9c-172411e20b8f","ScanSummary_894bfd39d435.csv","ScanSummary_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","894bfd39d43587a0c6a43aeae907277b2ee47afb00489b800f29af4b0a45cc7d","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\8d116ece-1738-f7d9-3d9c-172411e20b8f\ScanSummary_894bfd39d435.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Archives_8d116ece.zip!ScanSummary_R2.csv"
"ItemSummary","Téléchargement","8d116ece-1738-f7d9-3d9c-172411e20b8f","ItemSummary_7aa95d590cbd.csv","ItemSummary_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","7aa95d590cbd033344ea085e99dcbac4546e621fed131813596f649a092de3b4","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\8d116ece-1738-f7d9-3d9c-172411e20b8f\ItemSummary_7aa95d590cbd.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Archives_8d116ece.zip!ItemSummary_R2.csv"
"StructureReport","Téléchargement","8d116ece-1738-f7d9-3d9c-172411e20b8f","StructureReport_6dfafe87d9d7.csv","StructureReport_R2.csv","1","2026-09-17T07:55:18","2026-09-17T07:58:09","6dfafe87d9d7d88137578bbc9de40df682b833612c4867d121b3c2444a2ff382","C:\DemoMigration\Kit\Rapports_Exemple\MigrationManager\Taches\8d116ece-1738-f7d9-3d9c-172411e20b8f\StructureReport_6dfafe87d9d7.csv","C:\Users\aurelien\Downloads\Contoso_FS_-_Archives_8d116ece.zip!StructureReport_R2.csv"
