Source,Destination,Item name,Extension,Item size,Content type,Status,Result category,Message,Error code,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name
\\DEMO-SRV01\FileServer\06_Archives\2009\Dossier_Boulangeries_009.xlsx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Archives/2009/Dossier_Boulangeries_009.xlsx,Dossier_Boulangeries_009.xlsx,xlsx,4914,Document,Migrated,MIGRATED,,,SRC-55575985,67b80c22-b8f3-8d1b-376a-fb435a58e0c1,1,5e2fd186-28c2-c5f3-3d7c-b9cbce10861d,1,8d116ece-1738-f7d9-3d9c-172411e20b8f,DEMO-SRV01
\\DEMO-SRV01\FileServer\06_Archives\2009\Dossier_Boulangeries_012.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Archives/2009/Dossier_Boulangeries_012.pdf,Dossier_Boulangeries_012.pdf,pdf,1624,Document,Migrated,MIGRATED,,,SRC-63975798,94ab8cba-f559-ea6b-a11c-abde607c1966,1,5e2fd186-28c2-c5f3-3d7c-b9cbce10861d,1,8d116ece-1738-f7d9-3d9c-172411e20b8f,DEMO-SRV01
\\DEMO-SRV01\FileServer\06_Archives\2009\Dossier_Boulangeries_016.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Archives/2009/Dossier_Boulangeries_016.pdf,Dossier_Boulangeries_016.pdf,pdf,1624,Document,Migrated,MIGRATED,,,SRC-33176171,79d81d15-f370-bdbc-4c18-d04f354359fe,1,5e2fd186-28c2-c5f3-3d7c-b9cbce10861d,1,8d116ece-1738-f7d9-3d9c-172411e20b8f,DEMO-SRV01
\\DEMO-SRV01\FileServer\06_Archives\2009\Dossier_Boulangeries_026.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Archives/2009/Dossier_Boulangeries_026.pdf,Dossier_Boulangeries_026.pdf,pdf,1625,Document,Migrated,MIGRATED,,,SRC-46980068,dbbf7142-3a2e-9019-3456-8a23813c855c,1,5e2fd186-28c2-c5f3-3d7c-b9cbce10861d,1,8d116ece-1738-f7d9-3d9c-172411e20b8f,DEMO-SRV01
\\DEMO-SRV01\FileServer\06_Archives\2009\Dossier_Cabinet_000.xlsx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Archives/2009/Dossier_Cabinet_000.xlsx,Dossier_Cabinet_000.xlsx,xlsx,4914,Document,Migrated,MIGRATED,,,SRC-94679354,f12ca00d-2185-9a18-ace0-9f7573e3a21b,1,5e2fd186-28c2-c5f3-3d7c-b9cbce10861d,1,8d116ece-1738-f7d9-3d9c-172411e20b8f,DEMO-SRV01
\\DEMO-SRV01\FileServer\06_Archives\2009\Dossier_Cabinet_001.txt,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Archives/2009/Dossier_Cabinet_001.txt,Dossier_Cabinet_001.txt,txt,31,Document,Migrated,MIGRATED,,,SRC-5624364,98906251-42c1-278c-ff77-a417b4db6cf0,1,5e2fd186-28c2-c5f3-3d7c-b9cbce10861d,1,8d116ece-1738-f7d9-3d9c-172411e20b8f,DEMO-SRV01
\\DEMO-SRV01\FileServer\06_Archives\2009\Dossier_Cabinet_002.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Archives/2009/Dossier_Cabinet_002.pdf,Dossier_Cabinet_002.pdf,pdf,1625,Document,Migrated,MIGRATED,,,SRC-22199352,fd6edc91-966a-93e1-70ba-90f0e64d52a0,1,5e2fd186-28c2-c5f3-3d7c-b9cbce10861d,1,8d116ece-1738-f7d9-3d9c-172411e20b8f,DEMO-SRV01
\\DEMO-SRV01\FileServer\06_Archives\2009\Dossier_Cabinet_013.xlsx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Archives/2009/Dossier_Cabinet_013.xlsx,Dossier_Cabinet_013.xlsx,xlsx,4914,Document,Migrated,MIGRATED,,,SRC-52312133,67766a7f-3f0a-483a-88df-8c675e34f81d,1,5e2fd186-28c2-c5f3-3d7c-b9cbce10861d,1,8d116ece-1738-f7d9-3d9c-172411e20b8f,DEMO-SRV01
\\DEMO-SRV01\FileServer\06_Archives\2009\Dossier_Cabinet_018.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Archives/2009/Dossier_Cabinet_018.docx,Dossier_Cabinet_018.docx,docx,36709,Document,Migrated,MIGRATED,,,SRC-4269768,2021dc2c-3669-265a-829c-11729bb33b8c,1,5e2fd186-28c2-c5f3-3d7c-b9cbce10861d,1,8d116ece-1738-f7d9-3d9c-172411e20b8f,DEMO-SRV01
\\DEMO-SRV01\FileServer\06_Archives\2009\Dossier_Cabinet_021.txt,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Archives/2009/Dossier_Cabinet_021.txt,Dossier_Cabinet_021.txt,txt,31,Document,Migrated,MIGRATED,,,SRC-91376370,ad87e50d-1f6f-17a0-c02c-bb7cdf54fa50,1,5e2fd186-28c2-c5f3-3d7c-b9cbce10861d,1,8d116ece-1738-f7d9-3d9c-172411e20b8f,DEMO-SRV01
