Source,Destination,Item name,Extension,Item size,Content type,Status,Result category,Message,Error code,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name
\\DEMO-SRV01\FileServer\04_Direction\ Note avec espace initial.txt,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Direction/ Note avec espace initial.txt, Note avec espace initial.txt,txt,30,Document,Failed,SCAN FILE FAILURE,The item name is not allowed in SharePoint Online,SIMUL-NOM,SRC-4590834,,1,9b7a3939-9f14-0adb-df6d-487a4780c42f,1,36f675cc-81e7-4ef5-e8e2-5d940ed90475,DEMO-SRV01
\\DEMO-SRV01\FileServer\04_Direction\Comite_de_direction\2024\CR_CODIR_2024-01.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Direction/Comite_de_direction/2024/CR_CODIR_2024-01.docx,CR_CODIR_2024-01.docx,docx,36744,Document,Migrated,MIGRATED,,,SRC-32452487,73c8d589-da08-0c92-612a-ff071c6c347d,1,9b7a3939-9f14-0adb-df6d-487a4780c42f,1,36f675cc-81e7-4ef5-e8e2-5d940ed90475,DEMO-SRV01
\\DEMO-SRV01\FileServer\04_Direction\Comite_de_direction\2024\CR_CODIR_2024-02.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Direction/Comite_de_direction/2024/CR_CODIR_2024-02.docx,CR_CODIR_2024-02.docx,docx,36745,Document,Migrated,MIGRATED,,,SRC-44302114,b91a8326-49be-7f80-7539-1799b1511400,1,9b7a3939-9f14-0adb-df6d-487a4780c42f,1,36f675cc-81e7-4ef5-e8e2-5d940ed90475,DEMO-SRV01
\\DEMO-SRV01\FileServer\04_Direction\Comite_de_direction\2024\CR_CODIR_2024-03.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Direction/Comite_de_direction/2024/CR_CODIR_2024-03.docx,CR_CODIR_2024-03.docx,docx,36744,Document,Migrated,MIGRATED,,,SRC-8155984,6403e571-5a5b-2c16-4afc-bac65a453866,1,9b7a3939-9f14-0adb-df6d-487a4780c42f,1,36f675cc-81e7-4ef5-e8e2-5d940ed90475,DEMO-SRV01
\\DEMO-SRV01\FileServer\04_Direction\Comite_de_direction\2024\CR_CODIR_2024-04.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Direction/Comite_de_direction/2024/CR_CODIR_2024-04.docx,CR_CODIR_2024-04.docx,docx,36743,Document,Migrated,MIGRATED,,,SRC-87938112,626ea6b3-986d-7a4c-8e2b-86b886afe7df,1,9b7a3939-9f14-0adb-df6d-487a4780c42f,1,36f675cc-81e7-4ef5-e8e2-5d940ed90475,DEMO-SRV01
\\DEMO-SRV01\FileServer\04_Direction\Comite_de_direction\2024\CR_CODIR_2024-05.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Direction/Comite_de_direction/2024/CR_CODIR_2024-05.docx,CR_CODIR_2024-05.docx,docx,36745,Document,Migrated,MIGRATED,,,SRC-49761796,c97df06b-01bb-277e-526e-2f0ba5f08356,1,9b7a3939-9f14-0adb-df6d-487a4780c42f,1,36f675cc-81e7-4ef5-e8e2-5d940ed90475,DEMO-SRV01
\\DEMO-SRV01\FileServer\04_Direction\Comite_de_direction\2024\CR_CODIR_2024-06.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Direction/Comite_de_direction/2024/CR_CODIR_2024-06.docx,CR_CODIR_2024-06.docx,docx,36745,Document,Migrated,MIGRATED,,,SRC-64157835,7fe27f01-fd5e-c696-d97d-2d6dbeeb48dd,1,9b7a3939-9f14-0adb-df6d-487a4780c42f,1,36f675cc-81e7-4ef5-e8e2-5d940ed90475,DEMO-SRV01
\\DEMO-SRV01\FileServer\04_Direction\Comite_de_direction\2024\CR_CODIR_2024-07.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Direction/Comite_de_direction/2024/CR_CODIR_2024-07.docx,CR_CODIR_2024-07.docx,docx,36745,Document,Migrated,MIGRATED,,,SRC-69805835,2f287d98-4cce-4a50-71ac-02786173db2a,1,9b7a3939-9f14-0adb-df6d-487a4780c42f,1,36f675cc-81e7-4ef5-e8e2-5d940ed90475,DEMO-SRV01
\\DEMO-SRV01\FileServer\04_Direction\Comite_de_direction\2024\CR_CODIR_2024-08.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Direction/Comite_de_direction/2024/CR_CODIR_2024-08.docx,CR_CODIR_2024-08.docx,docx,36745,Document,Migrated,MIGRATED,,,SRC-53504600,251e1ae1-cd8e-4dc5-4dd5-169a8970978f,1,9b7a3939-9f14-0adb-df6d-487a4780c42f,1,36f675cc-81e7-4ef5-e8e2-5d940ed90475,DEMO-SRV01
\\DEMO-SRV01\FileServer\04_Direction\Comite_de_direction\2024\CR_CODIR_2024-09.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Direction/Comite_de_direction/2024/CR_CODIR_2024-09.docx,CR_CODIR_2024-09.docx,docx,36745,Document,Migrated,MIGRATED,,,SRC-10417542,94e29546-6083-02a7-934f-906c6f867ce3,1,9b7a3939-9f14-0adb-df6d-487a4780c42f,1,36f675cc-81e7-4ef5-e8e2-5d940ed90475,DEMO-SRV01
\\DEMO-SRV01\FileServer\04_Direction\Comite_de_direction\2024\CR_CODIR_2024-10.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Direction/Comite_de_direction/2024/CR_CODIR_2024-10.docx,CR_CODIR_2024-10.docx,docx,36743,Document,Migrated,MIGRATED,,,SRC-84227918,eb8fb862-d256-ddf8-1682-90053b603d92,1,9b7a3939-9f14-0adb-df6d-487a4780c42f,1,36f675cc-81e7-4ef5-e8e2-5d940ed90475,DEMO-SRV01
\\DEMO-SRV01\FileServer\04_Direction\Comite_de_direction\2024\CR_CODIR_2024-11.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Direction/Comite_de_direction/2024/CR_CODIR_2024-11.docx,CR_CODIR_2024-11.docx,docx,36744,Document,Migrated,MIGRATED,,,SRC-41334703,d7e86685-f80d-1a65-52e8-f12754803006,1,9b7a3939-9f14-0adb-df6d-487a4780c42f,1,36f675cc-81e7-4ef5-e8e2-5d940ed90475,DEMO-SRV01
