Source,Destination,Item name,Extension,Item size,Content type,Status,Result category,Message,Error code,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name
\\DEMO-SRV01\FileServer\05_Commun\Evenements\Seminaire_2025_Annecy\IMG_4000.jpg,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Commun/Evenements/Seminaire_2025_Annecy/IMG_4000.jpg,IMG_4000.jpg,jpg,305079,Document,Migrated,MIGRATED,,,SRC-46628743,a2f279aa-a19e-1497-fe66-52b991e2cd45,1,5a6a4821-1b4b-76d5-9a66-92d490a0aad5,1,6b0d549b-6f03-675a-1600-a35a099950d8,DEMO-SRV01
\\DEMO-SRV01\FileServer\05_Commun\Evenements\Seminaire_2025_Annecy\IMG_4001.jpg,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Commun/Evenements/Seminaire_2025_Annecy/IMG_4001.jpg,IMG_4001.jpg,jpg,306693,Document,Migrated,MIGRATED,,,SRC-66485260,6952aa64-b115-d13b-0ad5-11b1b90daa6b,1,5a6a4821-1b4b-76d5-9a66-92d490a0aad5,1,6b0d549b-6f03-675a-1600-a35a099950d8,DEMO-SRV01
\\DEMO-SRV01\FileServer\05_Commun\Evenements\Seminaire_2025_Annecy\IMG_4002.jpg,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Commun/Evenements/Seminaire_2025_Annecy/IMG_4002.jpg,IMG_4002.jpg,jpg,304775,Document,Migrated,MIGRATED,,,SRC-37806598,4e868ac3-00b6-2052-c9a2-7dd402bf7217,1,5a6a4821-1b4b-76d5-9a66-92d490a0aad5,1,6b0d549b-6f03-675a-1600-a35a099950d8,DEMO-SRV01
\\DEMO-SRV01\FileServer\05_Commun\Evenements\Seminaire_2025_Annecy\IMG_4003.jpg,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Commun/Evenements/Seminaire_2025_Annecy/IMG_4003.jpg,IMG_4003.jpg,jpg,307184,Document,Migrated,MIGRATED,,,SRC-76506121,01007271-8d8c-f9a8-b0d1-937ab5ec5c29,1,5a6a4821-1b4b-76d5-9a66-92d490a0aad5,1,6b0d549b-6f03-675a-1600-a35a099950d8,DEMO-SRV01
\\DEMO-SRV01\FileServer\05_Commun\Evenements\Seminaire_2025_Annecy\IMG_4004.jpg,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Commun/Evenements/Seminaire_2025_Annecy/IMG_4004.jpg,IMG_4004.jpg,jpg,306036,Document,Migrated,MIGRATED,,,SRC-68481462,d797a9ee-65c6-e445-4df0-de9beac29dbf,1,5a6a4821-1b4b-76d5-9a66-92d490a0aad5,1,6b0d549b-6f03-675a-1600-a35a099950d8,DEMO-SRV01
\\DEMO-SRV01\FileServer\05_Commun\Evenements\Seminaire_2025_Annecy\IMG_4005.jpg,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Commun/Evenements/Seminaire_2025_Annecy/IMG_4005.jpg,IMG_4005.jpg,jpg,195098,Document,Migrated,MIGRATED,,,SRC-305497,ab090579-03f3-f20d-9611-3b6719371cb1,1,5a6a4821-1b4b-76d5-9a66-92d490a0aad5,1,6b0d549b-6f03-675a-1600-a35a099950d8,DEMO-SRV01
\\DEMO-SRV01\FileServer\05_Commun\Evenements\Seminaire_2025_Annecy\IMG_4006.jpg,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Commun/Evenements/Seminaire_2025_Annecy/IMG_4006.jpg,IMG_4006.jpg,jpg,305913,Document,Migrated,MIGRATED,,,SRC-39393478,7f73d6f2-2cd9-86e8-3257-ae42078f6a4c,1,5a6a4821-1b4b-76d5-9a66-92d490a0aad5,1,6b0d549b-6f03-675a-1600-a35a099950d8,DEMO-SRV01
\\DEMO-SRV01\FileServer\05_Commun\Evenements\Seminaire_2025_Annecy\IMG_4007.jpg,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Commun/Evenements/Seminaire_2025_Annecy/IMG_4007.jpg,IMG_4007.jpg,jpg,196560,Document,Migrated,MIGRATED,,,SRC-86564475,4419ca8e-9128-a82e-8da1-c6a4c4daf940,1,5a6a4821-1b4b-76d5-9a66-92d490a0aad5,1,6b0d549b-6f03-675a-1600-a35a099950d8,DEMO-SRV01
\\DEMO-SRV01\FileServer\05_Commun\Evenements\Seminaire_2025_Annecy\IMG_4008.jpg,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Commun/Evenements/Seminaire_2025_Annecy/IMG_4008.jpg,IMG_4008.jpg,jpg,110638,Document,Migrated,MIGRATED,,,SRC-25984030,880fa3ce-e543-ba92-a595-6e2bdf02eac3,1,5a6a4821-1b4b-76d5-9a66-92d490a0aad5,1,6b0d549b-6f03-675a-1600-a35a099950d8,DEMO-SRV01
\\DEMO-SRV01\FileServer\05_Commun\Evenements\Seminaire_2025_Annecy\IMG_4009.jpg,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Commun/Evenements/Seminaire_2025_Annecy/IMG_4009.jpg,IMG_4009.jpg,jpg,110750,Document,Migrated,MIGRATED,,,SRC-88804444,93105115-24ca-abd0-ff42-958983ab84e3,1,5a6a4821-1b4b-76d5-9a66-92d490a0aad5,1,6b0d549b-6f03-675a-1600-a35a099950d8,DEMO-SRV01
